,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ZINC,pdbqt,Lowest_E,Mean_E,Set,Mwt,LogP,Rotatable bonds,H-donors,H-acceptors,PSA,Net charge,Num chirals,chirals,SMILES,QED_mean
9932,290575,290575,7984,ZINC000015839816,EJAARN.xaa_ligand_28277.pdbqt,-5.86,-5.86,1,330.431,4.526,4,1,2,41,0,1,"[(9, 'R')]",Cc1cccc(C(=O)N[C@@H](c2cccnc2)c2cc(C)ccc2C)c1,0.730195982368371
9933,11863,11863,3307,ZINC000035324508,EJAARN.xaa_ligand_01502.pdbqt,-5.86,-5.86,1,342.37,4.562,2,1,3,41,0,1,"[(3, 'R')]",O=C1C[C@H](c2ccc(F)cc2)c2snc(-c3cccc(F)c3)c2N1,0.7089137651392659
9934,489834,489834,1751,ZINC000032850724,HJAARN.xaa_ligand_36354.pdbqt,-5.86,-5.86,1,400.519,4.566,7,1,5,61,0,0,[],COc1cc(CNC(=O)c2cc(C)n(C3CCCCC3)c2C)cc(OC)c1OC,0.7071665015688025
9935,402078,402078,8185,ZINC000004838765,EJEARN.xaa_ligand_2481.pdbqt,-5.86,-5.86,1,348.349,4.597,2,1,3,41,0,0,[],O=C1N/C(=N/c2ccccc2)S/C1=C/c1cccc(C(F)(F)F)c1,0.7706544139142738
9936,95663,95663,1479,ZINC000000153700,EJAARN.xaa_ligand_22844.pdbqt,-5.86,-5.86,1,349.459,4.525,3,1,4,46,0,0,[],Cc1ccc(C(=O)Nc2ccc(-c3cn4c(n3)SCC4)cc2)cc1C,0.7227260058142987
9937,442611,442611,5903,ZINC000257291193,FJABRN.xaa_ligand_4033.pdbqt,-5.86,-5.86,1,367.493,4.504,5,1,3,55,0,1,"[(14, 'R')]",COc1cccc(Nc2cc(C)nc([C@@H]3CCCN(C(=O)C(C)C)C3)c2)c1,0.8081496383904305
9938,464977,464977,2581,ZINC000006895000,HJAARN.xaa_ligand_16205.pdbqt,-5.86,-5.86,1,416.93,4.512,5,2,4,67,0,0,[],CC1=C(C(=O)Nc2cc(Cl)ccc2C(=O)NCc2ccccc2C)SCCO1,0.719070040563973
9939,288325,288325,5734,ZINC000223345825,EJABRN.xaa_ligand_02256.pdbqt,-5.86,-5.86,1,345.87,4.549,7,1,2,38,0,1,"[(13, 'S')]",CCc1ccc(CC)c(CNC(=O)[C@H](C)Oc2cccc(Cl)c2)c1,0.7639959902272675
9940,151855,151855,6293,ZINC000000566946,EJEARN.xaa_ligand_2956.pdbqt,-5.86,-5.86,1,340.448,4.538,4,1,4,62,0,0,[],CC(C)Oc1ccc(C(=O)Nc2sc3c(c2C#N)CCCC3)cc1,0.8496825592367448
9941,60637,60637,708,ZINC000012554940,EJAARN.xaa_ligand_03963.pdbqt,-5.86,-5.86,1,328.843,4.576,4,2,2,41,0,1,"[(11, 'R')]",Cc1c(Cl)cccc1NC(=O)[C@@H](C)Nc1ccc2c(c1)CCC2,0.8243568092409337
